CO,NO,NO2,NOX,O3,PM10,PM25,PRS,RAINF,RH,SO2,SR,TOUT,WDR,WDV,WSR,CO_imputed,NO_imputed,NO2_imputed,NOX_imputed,O3_imputed,PM10_imputed,PM25_imputed,PRS_imputed,RAINF_imputed,RH_imputed,SO2_imputed,SR_imputed,TOUT_imputed,WDR_imputed,WDV_imputed,WSR_imputed
3.04,16.8,30.0,46.8,9.0,182.0,0.0,706.3,0.0,0.0,3.7,0.0,22.79,72.0,0.0,1.4,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
2.6,8.8,26.4,35.2,9.0,166.0,0.0,705.9,0.0,0.0,3.3,0.0,21.7,357.0,0.0,3.2,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
2.86,10.8,27.3,38.2,6.0,184.0,4.400087101407788,705.7,0.0,0.0,3.3,0.0,20.41,287.0,0.0,4.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
2.98,16.4,28.4,44.8,5.0,201.0,65.17109294060583,705.5,0.0,39.666657693195525,3.4,0.0,19.81,291.0,0.0,4.7,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
2.37,9.3,26.5,35.8,5.0,216.0,75.07266528804499,705.4,0.0,45.999955495781975,3.1,0.0,19.22,288.0,0.0,5.9,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1.8,1.1,17.5,18.3,11.0,166.0,76.64843950049193,705.3,0.0,47.076818753189954,3.1,0.0,18.76,279.0,0.0,5.6,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1.67,1.1,16.8,17.7,12.0,105.0,75.57011556993147,705.4,0.0,46.48082685975592,3.7669765227183385,0.0,18.85,254.0,0.0,6.0,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False
1.9,1.6,21.0,22.6,10.0,102.0,55.0,705.8,0.0,45.41067209336941,3.8,0.0,20.06,275.0,0.0,6.5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
1.34,1.2,6.3,7.5,16.0,125.0,39.0,706.4,0.0,34.0,4.4,0.009,23.27,331.0,0.0,9.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.1,1.1,16.05378079228612,15.98478148771452,23.0,83.0,8.0,707.1,0.0,21.0,2.6,0.054,27.77,312.0,0.0,14.2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1.12,-0.8083785704436572,12.01010790217308,11.340206908888693,24.0,138.0,2.0,708.1,0.0,19.0,2.4,0.256,29.22,343.0,0.0,11.9,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1.08,1.5,9.50869109074654,8.651163606202255,26.0,69.0,28.589117527354826,708.4,0.0,16.0,2.2,0.388,31.86,347.0,0.0,11.6,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False
1.03,1.1,8.019131988165382,7.235638225678814,28.0,86.0,4.0,708.0,0.0,15.0,2.2,0.467,33.38,334.0,0.0,10.5,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1.07,1.1,7.213117305936796,6.673469007360932,30.0,47.0,10.86633141590697,707.0,0.0,13.0,2.9812950605742468,0.447,34.18,329.0,0.0,14.0,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False
1.13,1.1,6.880150341332396,6.6966305890374604,30.811605397087092,92.0,2.0,706.0,0.0,9.0,2.1,0.334,35.08,307.0,0.0,14.9,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False
1.14,1.1,6.881228579490774,7.1290802074072275,32.63132435950967,94.0,4.0,705.3,0.0,9.0,2.1,0.438,35.48,293.0,0.0,17.3,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False
1.16,-1.9944383097733744,7.122221176055658,7.8522833692044385,33.8971855082763,131.0,5.0,705.1,0.0,9.0,2.4349143829945836,0.323,35.66,277.0,0.0,16.4,False,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False
1.22,1.1,7.537985083379895,8.784706740686135,34.7527820668239,99.0,4.0,705.5,0.0,9.0,2.3,0.201,35.75,272.0,0.0,8.0,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False
1.51,6.1,14.6,20.7,28.0,46.0,6.0,706.2,0.0,9.0,2.2,0.039,33.81,11.0,0.0,2.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.62,4.2,19.4,23.6,20.0,49.0,8.0,707.0,0.0,10.0,2.6,0.0,31.28,266.0,0.0,5.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.63,1.5,15.4,16.8,20.0,83.0,17.0,707.7,0.0,11.0,4.1,0.0,30.28,248.0,0.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.01,11.4,28.2,39.6,7.0,51.0,11.0,708.3,0.0,16.0,6.0,0.0,28.07,282.0,0.0,3.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.3,29.6,30.7,60.4,6.0,74.0,22.0,708.9,0.0,17.0,5.1,0.0,27.15,168.0,0.0,1.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.48,5.922521634129974,31.5,90.1,6.0,89.0,30.0,709.4,0.0,21.0,6.0,0.0,25.57,156.0,0.0,2.3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.7,24.653246066293192,29.4,100.7,5.0,88.0,34.0,709.7,0.0,26.0,4.2,0.0,23.77,274.0,0.0,2.9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.46,42.3,27.5,69.7,5.0,105.0,45.0,710.1,0.0,27.0,4.8,0.0,22.5,296.0,0.0,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.12,28.4,25.6,54.0,4.0,111.0,37.0,710.5,0.0,24.0,4.6,0.0,22.17,272.0,0.0,7.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.76,8.2,19.1,27.4,8.0,101.0,30.0,711.2,0.0,22.0,3.7,0.0,21.96,300.0,0.0,9.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.21,1.1,17.206070966531804,18.44609928728959,33.0,68.0,17.0,713.0,0.0,20.0,2.5,0.0,21.39,347.0,0.0,10.331872484344887,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True
1.2,1.1,8.553292105401553,6.519392868670406,38.9302426596806,232.0,18.0,714.7,0.0,18.0,2.3,0.0,20.6,354.0,0.0,9.945012032603646,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True
1.16,1.1,15.30357851443946,20.048096082080704,34.0,232.0,23.0,716.4,0.0,28.0,2.2,0.0,17.85,349.0,0.0,11.605520128798199,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True
1.2,1.1,18.66631076322704,22.20172016699093,33.0,232.0,23.0,718.5,0.0,35.0,2.0,0.0,14.29,351.0,0.0,12.780079402781752,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True
1.23,1.1,-1.7767193493270668,-1.167419410480182,34.0,217.0,16.0,720.4,0.0,36.0,2.1,0.013,11.53,353.0,0.0,16.027570294416073,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True
1.24,1.3,12.191156945510322,11.850483247063739,29.0,194.0,14.0,722.8,0.0,39.0,2.3,0.121,9.24,352.0,0.0,19.490551071118574,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True
1.26,2.3,10.662042115262704,3.8,27.0,108.0,11.0,724.8,0.0,37.0,3.6,0.265,9.03,353.0,0.0,13.365570480960905,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
1.33,2.6,9.11335987314353,3.8,29.0,120.0,9.0,726.1,0.0,32.0,4.6,0.389,9.75,358.0,0.0,16.006474983584155,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
1.3,2.8,7.567812413954549,3.8,29.0,117.0,11.0,726.4,0.0,30.0,4.3,0.478,11.0,358.0,0.0,16.335675223555885,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
1.3,2.4,6.022276302292225,3.8,30.0,75.0,12.0,726.1,0.0,29.0,3.0,0.472,12.29,358.0,0.0,19.6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1.34,1.9,2.1,3.8,25.0,65.0,5.0,725.2,0.0,27.0,2.6,0.328,13.43,355.0,0.0,19.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.33,1.2,2.1,3.8,17.0,55.0,8.0,725.1,0.0,25.0,2.5,0.451,13.79,355.0,0.0,21.9630267716821,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
1.35,1.1,2.1,3.8,17.0,55.0,8.0,725.1,0.0,25.0,2.5,0.342,13.73,352.0,0.0,18.265187071980726,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
1.33,1.1,2.1,5.116502938559602,17.0,59.0,9.0,725.4,0.0,24.0,2.4,0.198,13.73,354.0,0.0,18.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1.38,1.2,2.8,4.0,16.0,67.0,12.0,726.2,0.0,24.0,2.6,0.052,12.73,355.0,0.0,16.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.42,1.3,3.9,5.1,16.0,59.0,11.0,727.0,0.0,24.0,2.7,0.001,11.06,353.0,0.0,14.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.43,1.4,7.9,9.3,16.0,54.0,13.0,728.0,0.0,22.0,2.7,0.0,10.24,346.0,0.0,8.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.4,1.2,9.4,10.6,19.0,38.0,6.0,728.3,0.0,22.0,2.4,0.0,9.69,317.0,0.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.41,1.5,5.1,6.6,14.0,36.0,5.0,728.3,0.0,23.0,2.7,0.0,9.2,292.0,0.0,7.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.48,1.8,6.2,7.9,12.0,34.0,6.0,728.3,0.0,24.0,3.0,0.0,8.69,300.0,0.0,7.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.47,1.5,9.4,10.9,15.0,33.0,2.0,728.3,0.0,26.0,2.7,0.0,7.81,294.0,0.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.44,1.1,15.1,16.2,19.0,31.0,6.0,728.3,0.0,28.0,2.5,0.0,7.05,275.0,0.0,2.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.38,1.1,20.6,21.7,16.0,40.0,4.0,728.3,0.0,29.0,2.4,0.0,6.93,172.0,0.0,3.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.37,1.1,13.1,14.1,21.0,31.0,5.0,728.3,0.0,30.0,2.2,0.0,7.17,157.0,0.0,6.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.48,1.6,30.1,31.7,12.0,35.0,5.0,728.3,0.0,35.0,3.4,0.0,5.87,25.0,0.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.49,9.9,38.2,48.1,6.0,33.0,7.0,728.3,0.0,38.0,3.8,0.0,5.56,19.0,0.0,3.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.43,10.5,32.3,42.7,7.0,50.0,13.0,728.3,0.0,42.0,3.5,0.0,5.56,358.0,0.0,5.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.59,25.7,34.4,60.1,6.0,48.0,12.0,728.3,0.0,40.0,3.5,0.0,5.56,344.0,0.0,5.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.18,54.2,39.8,94.0,6.0,49.0,16.0,728.3,0.0,38.0,4.2,0.012,5.56,19.0,0.0,2.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.39,54.20992037860878,39.8,122.3,6.0,62.0,22.0,728.3,0.0,35.0,4.9,0.121,6.78,6.0,0.0,4.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.77,32.9,28.3,61.2,11.0,90.0,26.0,728.3,0.0,32.0,4.5,0.266,8.29,55.0,0.0,4.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.66,18.3,17.7,36.0,15.0,62.0,17.0,728.3,0.0,29.0,5.5,0.395,9.79,140.0,0.0,6.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.62,12.7,16.4,29.1,16.0,43.0,11.0,728.3,0.0,24.0,4.9,0.485,11.63,135.0,0.0,9.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.54,7.0,14.8,21.9,18.0,45.0,5.0,727.9,0.0,20.0,5.1,0.48,12.97,134.0,0.0,11.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.48,4.7,14.1,18.7,18.0,37.0,10.0,726.2,0.0,20.0,6.2,0.32,14.07,139.0,0.0,12.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.45,5.0,12.7,17.7,18.0,48.0,10.0,725.0,0.0,20.0,4.1,0.451,14.67,140.0,0.0,14.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.45,6.1,13.3,19.4,16.0,50.0,9.0,724.3,0.0,20.0,3.4,0.337,15.27,140.0,0.0,14.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.6,9.1,17.0,26.1,17.0,46.0,6.0,724.3,0.0,20.0,6.7,0.194,15.38,128.0,0.0,11.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.0,18.0,23.7,41.7,16.0,49.0,10.0,724.2,0.0,20.0,6.259664218026378,0.053,14.83,105.0,0.0,10.2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2.31,27.7,31.1,58.8,11.0,67.0,18.0,724.3,0.0,21.0,6.100744909423838,0.0,13.48,103.0,0.0,8.9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2.25,30.9,25.2,56.1,7.0,84.0,27.0,724.7,0.0,24.0,5.795414394782475,0.0,12.24,129.0,0.0,9.3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1.88,25.9,22.6,48.5,6.0,62.0,9.0,724.7,0.0,26.0,3.0,0.0,11.15,143.0,0.0,8.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.76,21.3,23.9,45.2,6.0,52.0,13.0,724.5,0.0,26.0,3.4,0.0,10.9,146.0,0.0,8.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.74,18.0,23.3,41.4,8.0,54.0,13.0,724.0,0.0,27.0,5.3,0.0,10.62,127.0,0.0,11.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.59,9.9,16.2,26.1,11.0,58.0,12.0,723.5,0.0,31.0,4.2,0.0,9.58,133.0,0.0,11.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.51,6.8,28.5,35.3,10.0,44.0,7.0,722.9,0.0,35.0,4.18144488203331,0.0,8.64,133.0,0.0,6.9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1.52,9.7,33.7,43.3,8.0,56.0,14.0,722.1,0.0,37.0,4.20967033482753,0.0,8.39,105.0,0.0,4.4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1.42,1.9,31.1,32.9,10.0,52.0,15.0,721.5,0.0,39.0,4.6,0.0,7.38,35.0,0.0,4.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.4,1.9,23.5,25.4,15.0,38.0,8.0,721.5,0.0,44.0,3.8,0.0,6.57,335.0,0.0,4.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
