CO,NO,NO2,NOX,O3,PM10,PM25,PRS,RAINF,RH,SO2,SR,TOUT,WDR,WDV,WSR,CO_imputed,NO_imputed,NO2_imputed,NOX_imputed,O3_imputed,PM10_imputed,PM25_imputed,PRS_imputed,RAINF_imputed,RH_imputed,SO2_imputed,SR_imputed,TOUT_imputed,WDR_imputed,WDV_imputed,WSR_imputed
0.0,0.0,44.8,68.0,5.0,0.0,0.0,715.7,0.0,0.0,4.0,0.0,21.65,285.0,0.0,6.5,True,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False
0.0,10.8,44.5,55.1,6.0,0.0,0.0,715.5,0.0,0.0,4.6,0.0,21.21,284.0,0.0,7.1,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False
0.7540000005110872,6.264003646611558,44.8,75.2,4.0,77.14005687871,2.109609922498798,715.4,0.0,3.9200215613395617,5.9,0.0,21.21,290.0,0.0,7.7,True,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False
1.4460674152312858,12.873154531764573,42.1,61.5,5.0,147.9431090788644,31.24662792161999,715.1,0.0,58.06161691075499,5.5,0.0,20.44,294.0,0.0,8.2,True,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False
1.5676470576318773,13.0,39.5,52.5,4.0,160.38105508648616,35.99405029275575,715.1,0.0,66.8831309408863,4.9,0.0,19.8,287.0,0.0,8.1,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False
1.3,5.4,25.6,30.9,8.0,133.0,36.74962426410248,715.0,0.0,68.287083726914,4.1,0.0,18.35,284.0,0.0,7.8,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
1.11,6.1,21.8,27.9,9.0,93.0,36.232668127214694,715.0,0.0,67.32643811359489,4.1,0.0,18.61,283.0,0.0,7.3,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
0.83,6.0,17.1,23.1,12.0,72.0,26.37,715.4,0.0,49.0,4.0,0.0,19.8,279.0,0.0,8.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.79,12.3,19.4,31.7,7.0,48.0,19.07,715.9,0.0,39.0,3.8,0.0,21.67,262.0,0.0,8.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.92,9.752430125106153,22.5,40.1,7.0,47.0,19.27,716.7,0.0,37.0,4.4,3.5036007247046924e-05,23.06,215.0,0.0,6.2,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.84,10.04696451539156,19.6,36.6,13.0,61.0,13.06,717.7,0.0,30.0,5.4,9.032397724071186e-05,27.93,90.0,0.0,6.2,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.55,5.2,7.2,12.5,29.0,59.0,8.21,718.0,0.0,20.0,3.4,0.00015778255007460775,30.8,108.0,0.0,9.6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.53,4.5,6.7,11.2,35.0,59.0,8.03,717.9,0.0,19.0,2.9,0.00023276575021833156,32.45,132.0,0.0,8.7,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.53,4.3,6.3,10.6,37.0,59.0,6.46,717.0,0.0,18.0,2.9,0.0003124948372436468,33.18,140.0,0.0,12.7,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.55,4.1,6.7,10.8,41.0,41.0,6.43,716.3,0.0,17.0,3.0,0.0003952542157623801,33.99,130.0,0.0,10.4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.56,3.9,7.4,11.3,47.0,43.0,6.85,715.8,0.0,16.0,3.2,0.00047995704053916516,34.41,105.0,0.0,11.3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.54,3.6,7.6,11.2,49.0,51.0,6.57,715.7,0.0,15.0,3.0,0.0005659002903666123,34.66,131.0,0.0,8.7,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.59,3.6,10.1,13.7,47.0,37.0,7.85,715.9,0.0,15.0,3.0,0.0006526216181723316,34.16,91.0,0.0,8.2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.97,3.754723178259769,27.6,41.9,22.0,45.0,8.81,716.2,0.0,17.0,3.6,0.0007398130755221743,31.79,183.0,0.0,5.1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
1.54,3.6637154487000925,41.6,83.1,4.0,41.0,10.84,716.6,0.0,25.0,3.6,0.001,27.15,262.0,0.0,4.2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.7218445074812063,3.853249930375411,41.6,22.033802338901232,4.0,51.0,16.27,717.2,0.0,27.0,3.7,0.0,25.76,245.0,0.0,4.7,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1.36,4.263874657412562,36.1,73.1,4.0,54.0,16.89,717.6,0.0,29.0,3.2,0.0,24.2,267.0,0.0,5.9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.17,4.850284676567036,33.8,55.8,6.0,47.0,14.0,718.0,0.0,28.0,3.8,0.0,24.45,210.0,0.0,4.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.56,5.577565393556915,35.0,88.3,3.0,50.0,13.73,718.4,0.0,32.0,4.1,0.0,23.31,264.0,0.0,4.9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.5,9.288196918615078,34.0,76.4,3.0,53.0,17.2,718.6,0.0,37.0,4.7,0.0,21.94,242.0,0.0,5.1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.97,14.0,26.4,40.4,9.0,46.0,11.04,718.9,0.0,31.0,4.3,0.0,22.51,270.0,0.0,8.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.76,4.6,25.6,30.2,11.0,31.0,11.4,719.3,0.0,24.0,6.5,0.0,23.96,278.0,0.0,8.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.51,3.3,11.5,14.7,25.0,32.0,6.18,719.9,0.0,20.0,5.4,0.0,25.18,268.0,0.0,10.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.49,3.0,9.4,12.4,28.0,24.0,10.6,721.2,0.0,21.0,4.6,0.0,23.6,292.0,0.0,11.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.4,2.7,3.4,6.1,38.0,121.0,12.7,723.5,0.0,21.0,3.3,0.0,20.6,109.0,0.0,7.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.4,2.6,4.7,7.4,35.0,128.0,10.64,724.8,0.0,25.0,2.8,0.0,18.72,298.0,0.0,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.43,2.6,5.7,8.3,31.0,109.0,14.6,726.3,0.0,35.0,2.7,0.0,15.72,346.0,0.0,11.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.44,2.7,6.5,9.3,31.0,84.15783838397547,12.74,727.9,0.0,38.0,2.7,8.333333231278118e-05,12.73,35.0,0.0,11.1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
0.44,3.5,6.1,9.6,29.0,122.0,9.8,729.4,0.0,40.0,3.1,0.0001666666657958245,10.86,29.0,0.0,13.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.44,4.2,5.4,9.6,27.0,86.0,8.12,731.1,0.0,41.0,4.5,0.00024999999933329633,9.61,31.0,0.0,13.2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.44,4.1,5.1,9.3,28.0,67.0,8.53,732.0,0.0,37.0,5.7,0.00033333333291242273,10.58,25.0,0.0,12.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.44,4.1,5.2,9.4,30.0,73.0,7.99,732.1,0.0,33.0,5.1,0.0004166666665197297,11.96,18.0,0.0,9.7,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.45,4.3,5.6,9.8,31.0,61.0,7.63,731.6,0.0,32.0,4.7,0.000500000000141112,12.75,23.0,0.0,11.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.46,3.8,5.3,9.2,34.0,56.0,7.0,731.1,0.0,30.0,3.6,0.0005833333337619607,13.6,39.0,0.0,11.4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.46,3.9,5.9,9.9,35.0,42.0,7.05,730.7,0.0,29.0,3.8,0.0006666666673671995,14.34,25.0,0.0,11.9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.46,3.8,5.9,9.7,35.0,41.0,6.46,730.9,0.0,28.0,4.0,0.0007500000009413067,14.07,23.0,0.0,11.9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.46,3.7,7.1,10.9,34.0,38.0,6.63,731.2,0.0,27.0,4.2,0.0008333333344682642,13.75,21.0,0.0,11.4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.47,3.2,9.1,12.2,32.0,43.0,7.16,731.7,0.0,27.0,4.3,0.0009166666679315462,12.71,14.0,0.0,8.8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.5,3.1,12.2,15.2,29.0,43.0,7.39,732.3,0.0,27.0,4.8,0.001,11.54,23.0,0.0,9.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.51,3.0,13.2,16.1,29.0,43.0,7.67,733.0,0.0,25.0,4.6,0.0,10.55,41.0,0.0,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.52,3.0,13.1,16.0,30.0,35.0,7.01,733.0,0.0,24.0,3.5,0.0,10.03,64.0,0.0,6.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.61,5.0,21.1,26.0,19.0,25.0,6.07,733.0,0.0,27.0,3.3,0.0,8.97,275.0,0.0,4.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
