CO,NO,NO2,NOX,O3,PM10,PM25,PRS,RAINF,RH,SO2,SR,TOUT,WDR,WDV,WSR,CO_imputed,NO_imputed,NO2_imputed,NOX_imputed,O3_imputed,PM10_imputed,PM25_imputed,PRS_imputed,RAINF_imputed,RH_imputed,SO2_imputed,SR_imputed,TOUT_imputed,WDR_imputed,WDV_imputed,WSR_imputed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
0.0,29.1,46.5,75.6,5.0,0.0,0.0,694.9,0.0,57.0,5.4,0.0,19.11,287.0,0.0,3.4,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
1.1484000010235837,38.7,42.0,80.7,5.0,106.14116034120028,28.4200564279631,694.9,0.0,57.0,5.3,0.0,18.5,333.0,0.0,1.4,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
2.2024719091018574,39.1,40.4,79.5,4.0,183.0,54.50556297479669,694.6,0.0,58.0,5.4,0.0,18.19,273.0,0.0,3.3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2.387647056424273,37.2,39.0,76.2,3.0,137.0,59.08810373542491,694.4,0.0,55.0,5.9,0.0,18.78,315.0,0.0,1.6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2.427019863663281,32.4,35.2,67.5,4.0,99.0,60.062399721944345,694.5,0.0,52.0,5.8,0.0,18.79,277.0,0.0,1.6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1.98,16.0,29.7,45.7,4.0,88.0,49.0,694.6,0.0,39.0,5.8,0.0,20.02,256.0,0.0,1.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.64,15.8,22.2,38.0,4.0,62.0,31.0,695.1,0.0,30.0,4.8,0.0,21.22,217.0,0.0,1.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.25,8.5,13.0,21.4,10.0,65.0,13.0,695.6,0.0,25.0,4.9,0.003,23.58,258.0,0.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.09,6.0,6.2,12.2,19.0,51.0,7.0,696.0,0.0,22.0,5.9,0.07,26.45,287.0,0.0,7.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.08,6.6,6.0,12.6,22.0,38.0,11.0,696.5,0.0,20.0,4.5,0.257,28.81,291.0,0.0,7.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.01,5.4,4.3,9.7,26.0,73.0,23.0,696.6,0.0,19.0,3.6,0.404,30.09,298.0,0.0,19.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.0,5.9,4.8,10.7,28.0,45.32638325539645,14.0,696.4,0.0,16.0,3.3,0.51,31.39,296.0,0.0,19.6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1.02,5.0,5.0,9.9,34.0,122.0,11.0,695.8,0.0,11.0,3.1,0.554,32.54,298.0,0.0,19.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.99,4.7,5.1,9.7,36.0,117.0,9.0,695.2,0.0,9.0,3.0,0.546,32.71,300.0,0.0,19.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
